"6,0190	-1,521932721"
"6,0191	-1,550164089"
"6,0192	-1,535093705"
"6,0193	-1,512148839"
"6,0194	-1,544933444"
"6,0195	-1,526668142"
"6,0196	-1,539503157"
"6,0197	-1,549362798"
"6,0198	-1,517748686"
"6,0199	-1,534751257"
"6,0200	-1,494806423"
"6,0201	-1,516367426"
"6,0202	-1,500302907"
"6,0203	-1,542784167"
"6,0204	-1,529901523"
"6,0205	-1,560478824"
"6,0206	-1,517975091"
"6,0207	-1,537963290"
"6,0208	-1,502293310"
"6,0209	-1,544360076"
"6,0210	-1,512056303"
"6,0211	-1,501610116"
"6,0212	-1,484469665"
"6,0213	-1,521137168"
"6,0214	-1,541256141"
"6,0215	-1,530365508"
"6,0216	-1,510773810"
"6,0217	-1,498981233"
"6,0218	-1,557560717"
"6,0219	-1,520272135"
"6,0220	-1,505846018"
"6,0221	-1,523109030"
"6,0222	-1,539381033"
"6,0223	-1,541259123"
"6,0224	-1,508965007"
"6,0225	-1,528740567"
"6,0226	-1,529035657"
"6,0227	-1,518303078"
"6,0228	-1,558722528"
"6,0229	-1,532934390"
"6,0230	-1,502598382"
"6,0231	-1,531663381"
"6,0232	-1,565240070"
"6,0233	-1,554167537"
"6,0234	-1,522903225"
"6,0235	-1,513520344"
"6,0236	-1,541654333"
"6,0237	-1,548914552"
"6,0238	-1,542171717"
"6,0239	-1,533901735"
"6,0240	-1,547110184"
"6,0241	-1,561563260"
"6,0242	-1,524166402"
"6,0243	-1,500012699"
"6,0244	-1,535210913"
"6,0245	-1,525718835"
"6,0246	-1,501452886"
"6,0247	-1,541784954"
"6,0248	-1,581471759"
"6,0249	-1,517230505"
"6,0250	-1,528339164"
"6,0251	-1,546169357"
"6,0252	-1,526037901"
"6,0253	-1,506584137"
"6,0254	-1,533678512"
"6,0255	-1,525361991"
"6,0256	-1,497771647"
"6,0257	-1,550485847"
"6,0258	-1,480662637"
"6,0259	-1,539344639"
"6,0260	-1,518793206"
"6,0261	-1,560042501"
"6,0262	-1,599947415"
"6,0263	-1,531477496"
"6,0264	-1,518765326"
"6,0265	-1,555257335"
"6,0266	-1,516146590"
"6,0267	-1,515995312"
"6,0268	-1,544550190"
"6,0269	-1,552301947"
"6,0270	-1,560672673"
"6,0271	-1,550053689"
"6,0272	-1,498010481"
"6,0273	-1,515106440"
"6,0274	-1,551159269"
"6,0275	-1,516551540"
"6,0276	-1,563760368"
"6,0277	-1,520254557"
"6,0278	-1,517346956"
"6,0279	-1,543358421"
"6,0280	-1,534738576"
"6,0281	-1,511026063"
"6,0282	-1,507352199"
"6,0283	-1,496444213"
"6,0284	-1,532187930"
"6,0285	-1,505765820"
"6,0286	-1,533514392"
"6,0287	-1,541891297"
"6,0288	-1,528034736"
"6,0289	-1,515370070"
"6,0290	-1,522943841"
"6,0291	-1,563666286"
"6,0292	-1,558020412"
